שלטון הימין בסכנה. זה הזמן להתעורר 
"My friend, Brazilian President @jairbolsonaro, I welcome your decision to open a trade, technology &amp; innovation office, an official office of the Government of Brazil, in Jerusalem. I hope that this is a first step toward the opening in time of the Brazilian Embassy in Jerusalem. "
"חברי נשיא ברזיל ז'איר בולסונארו - אני מברך על ההחלטה שלך לפתוח משרד מסחר טכנולוגיה וחדשנות, משרד רשמי של ממשלת ברזיל, בירושלים.

אני מקווה שזהו צעד ראשון לקראת פתיחה בבוא העת של שגרירות ברזיל בירושלים. ברוכים הבאים לירושלים בירת ישראל! "
"אני קורא ללפיד וגנץ לגלות אחריות, להתעשת, להיות ממלכתיים ולהשאיר את המוסד והשב""כ, מנדבכי ביטחון ישראל, מחוץ לפוליטיקה. יש לנו מספיק דברים לריב עליהם - לא על הגופים הנפלאים האלה "
"נשיא ברזיל, חברי הטוב, ז'איר מסיאס בולסונארו - ברוך הבא לישראל 🇮🇱🇧🇷 "
RT @Likud_Party: לפיד וגנץ - זה גדול עליהם. 
"Brazilian President @jairbolsonaro, my good friend, welcome to Israel! 🇮🇱🇧🇷 "
RT @Likud_Party: נשיא ברזיל חברי ז'איר בולסונארו - ברוך הבא לישראל! 
שבוע טוב. עדכון קצר ממני אליכם 
עלילת הדם של לפיד וגנץ התרסקה לרסיסים. 
שבת שלום! 
"שמחתי לפגוש את התומכים הרבים בהפגנת התמיכה האדירה הבוקר מחוץ לבית ראש הממשלה. אתם ענקיים, אני אוהב אתכם! שבת שלום "
RT @Likud_Party: מי שרוצה קואליציית שמאל מצביע ללפיד וגנץ. מי שרוצה קואליציית ימין מצביע רק לליכוד בראשות נתניהו 
"שון האניטי, הפרשן הבכיר של הרשת האמריקנית ״פוקס״: נתניהו הוא הצ׳רצ׳יל של ימינו "
"נפגשתי עם מפקדי האוגדות והמח״טים שנמצאים בקו הראשון מול עזה. בימים האחרונים הנחיתי לעבות כוחות, להוסיף כלים ולהיות מוכנים למערכה רחבה "

RT @Likud_Party: לחקור עכשיו את ״תיק 50 מיליון״ של בני גנץ! 
לחקור עכשיו את בני גנץ 
RT @Likud_Party: זה גדול עליו. 
🇮🇱🇺🇸 
"ידידי הנשיא טראמפ חתם על צו המכיר בריבונות ישראל ברמת הגולן. יום היסטורי למדינת ישראל! 

My friend President Trump signed an order recognizing Israeli sovereignty in the Golan Heights. A historic day for Israel! "
🇮🇱🇺🇸 
שלושער! כל הכבוד נבחרת ישראל וערן זהבי. תנו בראש! 🇮🇱🇮🇱🇮🇱 
RT @arutz20: הערב ב-20:00 במהדורה הריאיון המלא עם ראש הממשלה נתניהו 
"דמיינו מה היה קורה אם עיתונאי ימני היה מדבר ככה על הבן של לפיד או גנץ. 

המסיכה הוסרה ושוב התברר ש""התקשורת האובייקטיבית"" היא לא יותר מתעמולת שמאל. 

זו אותה תקשורת שמקדמת את עלילת הדם הבזויה נגדי של לפיד-גנץ... "
מסתבר שהתקשורת הישראלית החזיקה בתשובת טיסנקרופ כבר תקופה - ובכל זאת אף אחד לא פרסם את המידע הזה שסותר את עלילת הדם נגדי. לא מפתיע 
יצאתי הלילה לוושינגטון להיפגש עם ידידי הנשיא טראמפ ולחזק עם הקשר החזק שלנו עם ארה״ב. 🇮🇱🇺🇸 
"RT @danasomberg: ממש לפני העלייה למטוס לוושינגטון רה""מ @netanyahu העניק לנו ראיון
מוזמנים לצפות מחר ב @arutz20 "
ראיון מיוחד לערוץ 20 @arutz20. גנץ מחרים אותם כי הוא שמאל והם ימין. הוא סירב להתראיין שם. אני שמחתי להזמין אותם לראיון בבית ראש הממשלה. אתם מוזמנים לצפות בכל התשובות שלי מחר! 
רוצים לשחק איתי ארץ עיר? הכנסו לקישור: 
הודעה מיוחדת: 
החשש של גנץ התממש 
RT @Likud_Party: ההבדל בין שמאל חלש של לפיד וגנץ לימין חזק של נתניהו והליכוד 
הנשיא טראמפ עשה היסטוריה והכיר בריבונות ישראל על הגולן. תודה לך הנשיא טראמפ. תודה לך אמריקה! 
הערב בשיחת הטלפון עם ידידי הנשיא טראמפ. הנשיא טראמפ עשה היסטוריה והכיר בריבונות ישראל על הגולן. אין לנו חבר טוב ממנו! 
RT @Likud_Party: ראש הממשלה נתניהו בהצהרה מיוחדת עם מזכיר המדינה האמריקני מייק פומפאו 
"עם מזכיר המדינה האמריקני, ידידי מייק פומפאו, בכותל המערבי "
An excellent meeting with US Secretary of State Mike Pompeo. The alliance between our two countries is stronger than ever. Israel and the United States are working in close coordination to roll back Iranian aggression in the region and around the world. 
"מפגש פסגה בירושלים הערב עם נשיא קפריסין ניקוס אנסטסיאדיס, ראש ממשלת יוון אלכסיס ציפראס ומזכיר המדינה האמריקני מייק פומפאו. הבאנו את השותפות בין ישראל-קפריסין-יוון לאחת השותפויות האזוריות הטובות ביותר בעולם - לטובת המדינות שלנו! "
"פגישה מצויינת עם מזכיר המדינה האמריקני מייק פומפאו. הברית בינינו חזקה יותר מאי פעם. ישראל וארה""ב עובדות בתיאום הדוק כדי לבלום את תוקפנותה של איראן באזור ובעולם כולו. נמשיך לפעול ככל שיידרש נגד ניסיונות איראן להתבסס צבאית נגדנו בסוריה "
"RT @StateDept: Today, @SecPompeo delivered remarks with #Israel's Prime Minister @netanyahu in Jerusalem. @usembassyjlm "
"בני ויאיר, הגיע הזמן להפסיק להתחפש. פורים שמח! "
נפגש כעת עם מזכיר המדינה האמריקני מייק פומפאו. ברוך הבא לישראל! 
"גנץ, איזה חומר איראן מחזיקה עליך? מדינת ישראל צריכה ראש ממשלה חזק ולא סחיט שיעמוד איתן מול האוייבים שלנו "
"RT @Likud_Party: בני גנץ, מה האיראנים יודעים עליך שאתה מסתיר מאיתנו? "
לפיד וגנץ בראיון עבודה. זה מה שקרה שם: 
"המועמד לשעבר לנשיאות ארה""ב, ידידי המושל מייק האקבי, תודה רבה על התמיכה! "
אנחנו שמחים על הקשרים ועל הידידות בין ישראל להונגריה. הידידות הזאת מעולם לא הייתה חזקה כל כך! 
"חנכנו היום את נציגות הסחר של הונגריה בירושלים, בהמשך להצהרתו של ראש ממשלת הונגריה ויקטור אורבן בחודש שעבר כי יפתח נציגות דיפלומטית בירושלים. זאת הנציגות האירופית הראשונה שנפתחת בירושלים מזה עשרות שנים. זה חשוב למסחר, לדיפלומטיה ולתנועה שהונגריה מובילה לשינוי היחס לירושלים באירופה "
"היום בשילה הקדומה יחד עם מושל ארקנסו לשעבר, ידידי מייק האקבי. הקמנו שם מרכז מבקרים כדי שכל יהודי וכל תייר בישראל יוכל לבוא ולראות את הבירה הראשונה שלנו. זו עדות נפלאה לקשר שלנו עם ארץ ישראל ולפלא הגדול של תקומת ישראל "
"ביקור תנחומים בעלי, בבית משפחתו של הרב אחיעד אטינגר ז""ל. אחיעד היה אדם מופלא, אציל נפש וגיבור חיל. הכאב באובדן הוא עצום ועמוק. עם ישראל כולו אבל ומשתתף בצער המשפחה. יהי זכרו ברוך "
"העזרה היחידה שביקשתי מיאיר לפיד ביחס לאמריקנים זה שהוא ישתדל לא להפריע לי לעבוד. כרגיל הוא לא הקשיב, תמך בהסכם המסוכן עם איראן ותקף אותי על שיצאתי לנאום בקונגרס האמריקני נגדו. שיהיה בריא "
לא קיבלתי אפילו שקל מעסקת הצוללות. הדבר הזה נבדק במסרקות ברזל על ידי הפרקליטות ועל ידי היועץ המשפטי לממשלה. הם קבעו חד משמעית שאני לא חשוד בדבר ושאין שום דבר במעשיי. אבל אני מבין שגנץ ולפיד מאוד נלחצו מהפריצה האיראנית לטלפון של גנץ ולצורך זה הם מנסים להסיט את תשומת הלב 
"אם בני גנץ לא מצליח לשמור על הטלפון שלו, איך הוא ישמור על המדינה שלנו? "

ההבדל בין ימין חזק לשמאל חלש: 
"אם בני גנץ לא מסוגל לשמור על הטלפון שלו, איך הוא ישמור על המדינה שלנו? "
"המחבלים לא יעקרו אותנו מכאן. התשובה שלנו פשוטה - ככל שיענוהו, כן ירבה וכן יפרוץ. מחר נתחיל בבניית שכונה חדשה באריאל "
עם ישראל אבל היום על הירצחו של הרב אחיעד אטינגר ז״ל. אני מבקש לשלוח תנחומים למשפחתו בשעה קשה זו. יהי זכרו ברוך 
לפיד וגנץ תמכו בהסכם הגרעין המסוכן עם איראן. לפיד וגנץ - שמאל מסוכן. 
"השקרים של יאיר לפיד, מועמד לחצי ראשות ממשלה, לא יעזרו - השב״כ אישר שרה״מ לא ידע דבר בעניינו של גנץ וגם עיתונאים בכירים אומרים זאת.

זהו ניסיון של לפיד וגנץ לסלף את העובדה שהמשטר באיראן תומך בהם בצורה גלויה ושהם תמכו בהסכם הגרעין עם איראן בשעה שנתניהו נלחם נגדו. "
הבאנו את מדינת ישראל למצב הכלכלי הטוב ביותר בתולדותיה • ממשיכים קדימה בהישגים - מצביעים ליכוד! 
הזדמנות טובה להזכיר לכם להצטרף אליי גם בטלגרם: 
RT @giladerdan1: תקשיבו לאבי ניסנקורן: 
רק ליכוד גדול ימנע ממשלת שמאל של לפיד וגנץ בתמיכת איימן עודה ואחמד טיבי 
"ניסנקורן מההסתדרות, שר האוצר של לפיד וגנץ, ישבית את המדינה. אסור לחזור אחורה לכלכלת הסתדרות מסוכנת. מצביעים ליכוד וממשיכים בהצלחה! "
בוקר טוב! 
"היום זה יום ההולדת של אחי יוני ז״ל. תמיד זוכר.

Today is my brother Yoni’s birthday. I always remember. May his memory be a blessing. "
have a clear message for Iran and for Hezbollah: Israel knows what you're doing; Israel knows where you're doing it. What we've uncovered today is just the tip of the iceberg. We know a lot more. 
יש לי מסר ברור לאיראן ולחיזבאללה: אנחנו יודעים בדיוק מה אתם עושים. נמשיך לפעול בדרכים גלויות וסמויות כדי לסכל את כל המזימות שלכם 
RT @Likud_Party: ראש הממשלה בנימין נתניהו עונה לשאלות שלכם. שידור חי 
"RT @Likud_Party: ניסנקורן, שר האוצר של לפיד וגנץ, ישבית את המדינה. אסור לתת לזה לקרות "
"את השביתות ברכבת צריך להפסיק מייד. ניסנקורן, שר האוצר של לפיד וגנץ, ישבית את המדינה. הוא יחזיר אותנו אחורה לכלכלת הסתדרות שתפגע באזרחים. אסור לתת לזה לקרות. חייבים להמשיך קדימה עם ממשלת ימין של הליכוד - כלכלה חופשית שפותחת את השוק לתחרות ומורידה מחירים לטובת האזרחים "
יום אחד. צפו 
RT @Likud_Party: ראש הממשלה נתניהו עונה לשאלות שלכם! הצטרפו לליכוד טי.וי 
"With my good friend, Senator @LindseyGrahamSC, today in the Golan Heights. The Golan Heights will always be part of Israel. It is important that the international community, especially our great friend the United States, recognizes this fact and accepts it. "
בעוד חצי שעה אני עונה לשאלות הגולשים בליכוד טי.וי. מוזמנים להצטרף! 

מנהיגות מאוחדת לניצחון הליכוד @YuliEdelstein @NirBarkatHebrew @gidonsaar @yoavgallant @Israel_katz @giladerdan1 
מנהיגות מאוחדת לניצחון הליכוד 🇮🇱 
תיק החינוך יישאר בידי הליכוד. 
"RT @Likud_Party: אם הם לא יודעים לנהל קמפיין בחירות, איך הם ינהלו מדינה? "
הצבעתם גנץ? קיבלתם את יאיר לפיד ראש ממשלה 
עודכנתי בצער על 2 הישראלים שנספו בהתרסקות המטוס באפריקה. ליבנו עם המשפחות. אני מקיים הערכת מצב במשרד החוץ כדי שנדאג לסייע ככל האפשר 
הפתעתי משפחה ישראלית צעירה מבאר שבע. הם לא ציפו לזה... 
ללפיד וגנץ אין ממשלה בלי מרצ והמפלגות הערביות. רק ליכוד גדול ימנע ממשלת שמאל! 
אף אחד לא הרים את ישראל כמונו. שבת שלום לכם 🇮🇱 
לא ראוי. 
באר שבע! 
RT @Likud_Party: תמיד כיף להגיע לבאר שבע. הצטרפו אליי בשידור חי 
שדרות ♥️ 
תודה רבה שדרות! 
With American soldiers today in Israel. The relationship between the United States and Israel is stronger than ever. 🇮🇱🇺🇸 
עם חיילים אמריקניים שמוצבים בישראל עם מערכת ההגנה הטובה ביותר בעולם נגד טילים. היחסים בין ישראל לארה״ב בשיא של כל הזמנים! 
הצטלמתי עם חיילים... אמריקנים. הברית בין ארה״ב לישראל חזקה מאי פעם! 
הצבעתם גנץ - קיבלתם לפיד וטיבי. 
רק ליכוד גדול ימנע ממשלת שמאל. 
רק ליכוד גדול ימנע ממשלת שמאל. 
נתניהו - ימין. חזק. 
הצבעתם גנץ - קיבלתם לפיד. רק ליכוד גדול ימנע ממשלת שמאל. 
רטווטו את ההישגים שלנו! 
"מצביעי הימין, ארבע שנים אתם יושבים בבית ושומעים ערב-ערב את שידורי התעמולה נגדנו בטלוויזיה. 
 
אחת לארבע שנים יש לכם הזדמנות לתת תשובה לשדרני התעמולה של השמאל:

זה לא יעזור לכם. אתם לא תחליטו אנחנו נחליט. העם יחליט.
 
כי העם הוא הריבון. לא התקשורת!

רק ליכוד גדול ינצח את השמאל. "
הצטרפו לנאום שלי: 
בלתי נתפס. 
מי שצופה במהדורת החדשות של ערוץ 12 - צופה בשידורי תעמולה של מפלגת השמאל לפיד-גנץ: 
ביקורת זה דבר לגיטימי. כבר היו דברים מעולם. 
"ממשלת ימין בראשותי, או ממשלת שמאל של לפיד וגנץ "
RT @Likud_Party: הופעה אדירה של @giladerdan1. חובת צפייה! 
10 שניות על ביטחון. 
צפו במה שאומרים באחת התוכניות הנצפות ביותר בארה״ב על הרדיפה נגדי 
חברות וחברי הליכוד מוזמנים לכנס שלנו מחר בערב בכפר המכביה. נתראה שם! 
תיק 4000 - תיק תפור 
ערוץ 12 מוליך שולל את הציבור 
שבוע טוב! 

"אל תתנו למסע הציד נגדי לבלבל אתכם. הבחירות האלה הן בין מפלגת השמאל החלשה של לפיד-גנץ עם גוש חוסם של המפלגות הערביות, לבין ממשלת ימין חזקה בהנהגתי. 

רבים מכם שואלים אותי מאיפה אני שואב את הכוחות? התשובה היא: מכם, אזרחי ישראל, שמחזקים אותי כדי שאמשיך להנהיג את ישראל. 

שבת שלום ♥️ "
אירחנו הבוקר את נשיא ליבריה ורעייתו. אמרתי לו שבפעם הבאה שהוא יבוא אולי נשחק קצת כדורגל ושנמשיך לשתף פעולה ביחד. אנחנו הופכים את ישראל לכוח עולמי עולה! 
"אני אומר לכם, אזרחי ישראל, כל מגדל הקלפים הזה יקרוס. אני בטוח בזה לחלוטין! "
"התמיכה שלכם ריגשה אותי מאוד הערב. בעזרתכם, אני מתכוון לשרת אתכם כראש ממשלת ישראל עוד שנים רבות. תודה רבה לכם! "
מגדל הקלפים יקרוס לחלוטין. 
"תודה על תמיכתך בי, ידידי הנשיא טראמפ! 🇺🇸🇮🇱 "
"בכל פעם שאני יוצא לחו״ל כדי לייצג אתכם, אזרחי ישראל, אני תמיד חושב על הזכות הגדולה שנפלה בחלקי - להילחם למען המדינה שלנו 🇮🇱 "
פגישה חשובה עם הנשיא פוטין. הקשר החזק בינינו סייע רבות לביטחון ישראל. אנחנו נחושים להמשיך בפעולה התקיפה שלנו נגד איראן 
עדכון קצר ממוסקבה: 
RT @AlanDersh: 
"המכתב החשוב שהגיע הערב ליועמ״ש מהפרופ׳ אלן דרשוביץ, מבכירי המשפטנים בעולם: "
"הערב אמריא למוסקבה כדי להיפגש מחר עם נשיא רוסיה ולדימיר פוטין.

במוקד השיחות שלנו - ההתבססות האיראנית בסוריה. אנחנו פועלים נגדה, אנחנו תוקפים את הבסיסים שלה ואנחנו נמשיך לפעול נגדה – ועל כך אשוחח עם הנשיא "
"מדינת ישראל מעולם לא הייתה במצב טוב יותר. התקשורת מנסה להסתיר זאת, אבל אתם יודעים את האמת "
"RT @0404news: נחשף מסמך: היועמ""ש לשעבר אישר בעצמו את מיזוג בזק-יס "

השמאל לוחץ על היועץ כדי לנצח את הבחירות. 
אני צריך אתכם כדי שננצח: 
חבל שלא אמרת את זה במהדורה 
"לאדם פרטי אין יכולת להתמודד מול הוצאות כבירות כאלה, ולראש הממשלה לא מאפשרים לגייס סיוע כפי שנתנו לחברי כנסת כמו צחי הנגבי וראשי ממשלה כמו אריאל שרון "
איראן משקרת. ישראל תמשיך לעשות הכל כדי לבלום אותה בסוריה. 
את ההישגים שלנו אי אפשר להקטין. ממשיכים לעשות בגדול למען מדינת ישראל! 🇮🇱 
רק ליכוד גדול ינצח את השמאל. הנאום המלא: 
"אוהב אתכם אזרחי ישראל, לעוד הרבה שנים של עשייה למען המדינה שאנחנו כל כך אוהבים "
"אחרי ארה״ב, רוסיה וסין - ישראל בדרך לירח! 🌕🇮🇱 "
מרגש מאוד להשתתף בשיגור החללית הישראלית הראשונה לירח. ישראל היא כוח עולמי עולה! 
רק ליכוד גדול ימנע ממשלת שמאל 
RT @Likud_Party: ראש הממשלה נתניהו בהצהרה מיוחדת: רק ליכוד גדול ימנע ממשלת שמאל של לפיד-גנץ 
ממשלת שמאל חלשה של לפיד-גנץ או ממשלת ימין חזקה בראשות נתניהו 
"זה או ממשלת שמאל של לפיד-גנץ שמוכנה לסכן את ארץ ישראל, או ממשלת ימין בראשותי
"
"שמחתי לארח בירושלים בירת ישראל שלושה ממנהיגי אירופה: ראשי הממשלה של הונגריה, צ׳כיה וסלובקיה. אנחנו הופכים את ישראל לכוח עולמי! "
"בני גנץ, תתבייש "
גנץ תתבייש. כחייל וכקצין בסיירת מטכ״ל סיכנתי את חיי פעם אחר פעם למען ישראל. נפצעתי בקרב עם מחבלים. כמעט איבדתי את חיי בתעלת סואץ למען ביטחון המדינה שאתה רוצה לסכן בנסיגות חד צדדיות ובתמיכה בהסכם הגרעין האיראני.אזרחי ישראל יבחרו בין ממשלת ימין חזקה בראשותי לבין ממשלה שמאל חלשה שלך 
RT @Likud_Party: הקלפי שלנו מגיעה לבאר שבע! הצטרפו לשידור החי 
"We are happy to host Hungarian Prime Minister Viktor Orban, Slovak Prime Minister Peter Pellegrini, and Czech Prime Minister Andrej Babis for lunch at the Prime Minister's Residence in Jerusalem. Welcome to Israel! "
"נפגשתי היום עם ראשי הממשלות של סלובקיה, צ'כיה והונגריה. שלושתם יפתחו נציגויות בירושלים בירתנו. יום יפה ב'חוץ'! "
"שמחים לארח אצלנו את ראש ממשלת הונגריה ויקטור אורבן, ראש ממשלת סלובקיה פטר פלגריני וראש ממשלת צ'כיה אנדריי באביש. ברוכים הבאים לישראל! "
"RT @Likud_Party: גנץ כשל בעסקים ופיטר למעלה מ-100 עובדים. גנץ - שמאל, חלש, פושט רגל. "
"I am happy to host in Israel a delegation of US legislators led by Senator @JimInhofe. Welcome, friends! 🇮🇱🇺🇸 "
אוהב אתכם ראשון לציון! 
RT @Likud_Party: נפרדים מציפי לבני. משדר מיוחד בליכוד טי.וי: 
"גנץ ניסה להפקיר את ביטחון ישראל בידי כוח רב-לאומי. נתניהו התנגד ובלם את תוכנית הנסיגה שלו. 

גנץ - שמאל חלש. נתניהו - ימין חזק. "
RT @0404news: נתניהו מקיים שיחות עם ראשי מפלגות הימין. הליכוד: ״אם לא יהיה איחוד בימין זו תהיה בכייה לדורות״ 
בוצע. 
נתניהו. ימין. חזק. 
היום אנחנו מקיימים הבטחה נוספת שהבטחנו לווטרנים היקרים שלנו. הממשלה אישרה היום תקציב נוסף להשלמת פרויקט מוזיאון הלוחם היהודי בלטרון. אתר ההנצחה הזה יכלול עכשיו גם תצוגה על הלוחמים היהודים שנלחמו במהלך מלחמת העולם השנייה. יש לי אליהם הערכה עצומה - מגיע להם! 
גנץ תמך בהסכם הגרעין הרע עם איראן. גנץ - שמאל חלש. נתניהו - ימין חזק. 
"פרופסור אלן דרשוביץ, מבכירי המשפטנים בעולם, תומך בנתניהו: ״ההחלטה לבחור בו לראשות הממשלה צריכה להתקבל על ידי הציבור בקלפי ולא על ידי אף אחד אחר״: "
#NewProfilePic 
RT @arutz20: כך הותיר ההישג של נתניהו את משתתפי וועידת ורשה פעורי פה | הטור של @elirantal  
"יום אהבה שמח לנו, יום אהבה שמח לכולכם!
♥️
Happy Valentine’s Day to us, happy Valentine’s Day to all of you! "
"פגישה מצויינת עם סגן נשיא ארה""ב, ידידי מייק פנס. הידידות בינינו – בשיא של כל הזמנים! "
"When the Warsaw Ghetto Uprising took place, no one came here to help us. Today we have built our own capacities to defend ourselves, but we have a great friend, and the greatest friend of all is the United States of America. There is no alliance like ours. "
"My wife Sara and I, US Vice President Mike Pence and his wife Karen, and Polish Prime Minister Mateusz Morawiecki and his wife Iwona, laid wreaths at the Ghetto Heroes Monument commemorating the Warsaw Ghetto Uprising. "
"An excellent meeting with the @VP of the United States, my friend, Mike Pence. The friendship between us is at an all-time high! 🇮🇱🇺🇸 "
"הליכוד טי.וי בשידור חי: 
"
🇮🇱🇺🇸 
"אני מביא את מעמדנו הבינלאומי לשיאים חדשים - לא מתוך ויתורים מסוכנים, אלא דווקא מתוך עמידה איתנה על האינטרסים הביטחוניים שלנו "
עושים היסטוריה 🇮🇱 
💪🇮🇱 
"עם מזכיר המדינה האמריקני מייק פומפאו, בוועידת ורשה לשלום וביטחון במזרח התיכון. הודיתי לו על שעשה היסטוריה: כ-60 שרי חוץ ונציגים של עשרות ממשלות, ראש ממשלה ישראלי ושרי חוץ של מדינות ערביות מובילות עמדו יחד ודיברו בעוצמה, בהירות ואחדות נגד האיום המשותף מצד המשטר האיראני. חשוב מאוד! "
גם הערב אני גאה לייצג אתכם בשורה הראשונה עם מנהיגי העולם 🇮🇱 
"הצטרפו לשידור החי: 
"
"Four months ago, I visited Oman. It was the first time an Israeli PM had visited Oman in more than 20 years. Today I met with the foreign minister of Oman. We spoke about taking additional steps to strengthen our relations. This is a revolution in Israel’s foreign relations! "
"לא ביבי, לא חוקרים "
שווה צפייה 
לפני ארבעה חודשים ביקרתי לראשונה מזה 20 שנה בעומאן וקידמתי את היחסים בינינו. היום נפגשתי עם שר החוץ של עומאן ודיברנו על צעדים נוספים לחיזוק היחסים. מהפך גדול ביחסי החוץ של ישראל! 
"אני לא סופר אותם. אכפת לי רק מכם. הם ימשיכו לקשקש, אני אמשיך לעבוד למען המדינה שלנו "
בני גנץ זה שמאל חלש 
"תיק 4000, תיק תפור: 
"
"לא ביבי, לא חוקרים "
RT @Likud_Party: נתניהו נלחם נגד ההתנתקות. נתניהו - ימין חזק. גנץ - שמאל חלש. 
"הטילים שלנו יכולים להגיע רחוק מאוד, מול כל אויב, כולל מול השלוחות של איראן באזורנו. יש לנו חיל-ים מצוין וצבא חזק מאוד! "
"הטילים שלנו יכולים להגיע רחוק מאוד, מול כל אויב, כולל מול השלוחות של איראן באזורנו. יש לנו חיל-ים מצוין וצבא חזק מאוד! "
"תיק 2000, תיק תפור: 
"
אוהב אתכם חיילי צה״ל! 
גנץ - שמאל. חלש. 
"אני לא מתעלם מהאיומים של המשטר האיראני, אבל אני גם לא מתרשם מהם. 

אם המשטר האיראני יעשה את הטעות האיומה וינסה להחריב את תל אביב וחיפה - זה לא יצליח להם, אבל זה יהיה יום המהפכה האחרון שהם יחגגו. כדאי שהם יקחו זאת בחשבון "
"תיק 1000, תיק תפור. צפו:
"
